x,y
4416.0,4.4322335304370386e-41
4432.0,3.202772874888436e-41
4448.0,2.3143532527514806e-41
4464.0,1.6723730304191285e-41
4480.0,1.2084721939263904e-41
4496.0,8.73253165968156e-42
4512.0,6.310208010626822e-42
4528.0,4.5598145748756356e-42
4544.0,3.2949641156413994e-42
4560.0,2.380971494583334e-42
4576.0,1.7205119870978792e-42
4592.0,1.2432578485218354e-42
4608.0,8.98389601178181e-43
4624.0,6.491846212470666e-43
4640.0,4.69106801671574e-43
4656.0,3.3898090646664075e-43
4672.0,2.449507330516039e-43
4688.0,1.7700366149803437e-43
4704.0,1.2790448019239184e-43
4720.0,9.242495841515478e-44
4736.0,6.678712837262455e-44
4752.0,4.826099565255576e-44
4768.0,3.4873841084784443e-44
4784.0,2.5200159581506536e-44
4800.0,1.82098680036272e-44
4816.0,1.3158618763385696e-44
4832.0,9.50853942080397e-45
4848.0,6.870958384215708e-45
4864.0,4.965017972616493e-45
4880.0,3.5877678323645744e-45
4896.0,2.5925541639412435e-45
4912.0,1.8734035776610655e-45
4928.0,1.35373872361373e-45
4944.0,9.782241016638461e-46
4960.0,7.068737684636719e-46
4976.0,5.107935121330083e-46
4992.0,3.691041083675216e-46
5008.0,2.667180368929735e-46
5024.0,1.9273291624597164e-46
5040.0,1.3927058491204458e-46
5056.0,1.0063821063646896e-46
5072.0,7.272210026623062e-47
5088.0,5.254966114446464e-47
5104.0,3.7972870369372093e-47
5120.0,2.7439546757972305e-47
5136.0,1.9828069855110054e-47
5152.0,1.4327946363213785e-47
5168.0,1.0353506341628311e-47
5184.0,7.481539283351537e-48
5200.0,5.406229368236344e-48
5216.0,3.906591260841185e-48
5232.0,2.822938917269693e-48
5248.0,2.0398817277136563e-48
5264.0,1.4740373720465147e-48
5280.0,1.0651530158197457e-48
5296.0,7.69689404505884e-49
5312.0,5.561846707561468e-49
5328.0,4.019041787157128e-49
5344.0,2.9041967059169717e-49
5360.0,2.0985993560980205e-49
5376.0,1.5164672724964298e-49
5392.0,1.0958132536686767e-49
5408.0,7.918447754821284e-50
5424.0,5.721943463990295e-50
5440.0,4.1347291816336826e-50
5456.0,2.9877934853852875e-50
5472.0,2.1590071608471427e-50
5488.0,1.5601185099940555e-50
5504.0,1.1273560409457094e-50
5520.0,8.146378848242924e-51
5536.0,5.886648576737933e-51
5552.0,4.2537466169382594e-51
5568.0,3.073796583104443e-51
5584.0,2.221153793383477e-51
5600.0,1.605026240506487e-51
5616.0,1.1598067816772867e-51
5632.0,8.380870897164554e-52
5648.0,6.0560946965115794e-52
5664.0,4.3761899476967415e-52
5680.0,3.162275264512186e-52
5696.0,2.285089305551915e-52
5712.0,1.6512266319590064e-52
5728.0,1.1931916111401797e-52
5744.0,8.622112757509368e-53
5760.0,6.230418292345174e-53
5776.0,4.502157787693158e-53
5792.0,3.253300788839427e-53
5808.0,2.3508651899306965e-53
5824.0,1.6987568933641149e-53
5840.0,1.2275374169103977e-53
5856.0,8.870298721384325e-54
5872.0,6.409759761509223e-54
5888.0,4.6317515892915623e-54
5904.0,3.3469464665012077e-54
5920.0,2.418534421302655e-54
5936.0,1.7476553047890397e-54
5952.0,1.2628718605179852e-54
5968.0,9.125628673559695e-55
5984.0,6.594263542584405e-55
6000.0,4.765075725144052e-55
6016.0,3.443287718139678e-55
6032.0,2.488151499320218e-55
6048.0,1.7979612481858573e-55
6064.0,1.2992233997251514e-55
6080.0,9.388308252452901e-56
6096.0,6.784078231789948e-56
6112.0,4.902237572250729e-56
6128.0,3.542402135366592e-56
6144.0,2.5597724923984943e-56
6160.0,1.849715239109043e-56
6176.0,1.3366213114456687e-56
6192.0,9.658549015746199e-57
6208.0,6.979356702660492e-57
6224.0,5.0433475984393114e-57
6240.0,3.6443695432542864e-57
6256.0,2.6334550828718324e-57
6272.0,1.9029589593460162e-57
6288.0,1.3750957153240022e-57
6304.0,9.936568610771638e-58
6320.0,7.180256229167879e-58
6336.0,5.18851945133406e-58
6352.0,3.749272064625437e-58
6368.0,2.7092586134501944e-58
6384.0,1.9577352904869463e-58
6400.0,1.4146775979931625e-58
6416.0,1.0222590949800566e-58
6432.0,7.3869386123868995e-59
6448.0,5.337870049885646e-59
6464.0,3.8571941861933864e-59
6480.0,2.787244135012764e-59
6496.0,2.014088348460855e-59
6512.0,1.4553988380308142e-59
6528.0,1.051684639037874e-59
6544.0,7.599570310807175e-60
6560.0,5.491519678535689e-60
6576.0,3.9682228266063194e-60
6592.0,2.8674744557772976e-60
6608.0,2.072063519065846e-60
6624.0,1.4972922316337417e-60
6640.0,1.0819571920852431e-60
6656.0,7.818322574395991e-61
6672.0,5.6495920840918144e-61
6688.0,4.0824474064500623e-61
6704.0,2.9500141918847936e-61
6720.0,2.131707494522047e-61
6736.0,1.5403915190313522e-61
6752.0,1.1131011351234782e-61
6768.0,8.043371582520109e-62
6784.0,5.812214575391229e-62
6800.0,4.199959920265909e-62
6816.0,3.034929819440239e-62
6832.0,2.193068311076741e-62
6848.0,1.5847314116594824e-62
6864.0,1.1451415509566305e-62
6880.0,8.274898585837656e-63
6896.0,5.979518125833105e-63
6912.0,4.3208550106414686e-63
6928.0,3.122289728051338e-63
6944.0,2.256195387691942e-63
6960.0,1.6303476201164036e-63
6976.0,1.1781042443927487e-63
6992.0,8.513090052274342e-64
7008.0,6.151637478862341e-64
7024.0,4.4452300444342005e-64
7040.0,3.2121642759083446e-64
7056.0,2.3211395658455917e-64
7072.0,1.677276882923529e-64
7088.0,1.2120157630266396e-64
7104.0,8.75813781720154e-65
7120.0,6.328711256489643e-65
7136.0,4.573185191189031e-65
7152.0,3.304625846449356e-65
7168.0,2.387953150478425e-65
7184.0,1.7255569961139996e-65
7200.0,1.2469034186208465e-65
7216.0,9.01023923793728e-66
7232.0,6.510882070935344e-66
7248.0,4.704823503813206e-66
7264.0,3.3997489066567054e-66
7280.0,2.456689952119478e-66
7296.0,1.7752268436729667e-66
7312.0,1.282795309102082e-66
7328.0,9.269597352694452e-67
7344.0,6.69829663948687e-67
7360.0,4.8402510015733625e-67
7376.0,3.49761006703141e-67
7392.0,2.527405330224184e-67
7408.0,1.8263264288540978e-67
7424.0,1.3197203411908222e-67
7440.0,9.536421044104367e-68
7456.0,6.891105902662365e-68
7472.0,4.979576755481643e-68
7488.0,3.5982881432939716e-68
7504.0,2.6001562377599356e-68
7520.0,1.8788969063975153e-68
7536.0,1.3577082536822892e-68
7552.0,9.810925207447288e-69
7568.0,7.089465145775613e-69
7584.0,5.122912976139642e-69
7600.0,3.7018642198612174e-69
7616.0,2.6750012670750387e-69
7632.0,1.9329806156751277e-69
7648.0,1.3967896413975725e-69
7664.0,1.0093330923725433e-69
7680.0,7.293534124000211e-70
7696.0,5.270375104110932e-70
7712.0,3.8084217151503254e-70
7728.0,2.7520006970880043e-70
7744.0,1.9886211147900467e-70
7760.0,1.436995979824182e-70
7776.0,1.0383865637717887e-70
7792.0,7.50347719103367e-71
7808.0,5.422081902894917e-71
7824.0,3.9180464487625905e-71
7840.0,2.831216541835159e-71
7856.0,2.0458632156575394e-71
7872.0,1.4783596504658674e-71
7888.0,1.0682763341160752e-71
7904.0,7.719463431465111e-72
7920.0,5.578155554576971e-72
7936.0,4.030826710601091e-72
7952.0,2.9127126004157064e-72
7968.0,2.1047530200957898e-72
7984.0,1.5209139669221388e-72
8000.0,1.0990264761200157e-72
8016.0,7.941666796953113e-73
8032.0,5.738721758231795e-73
8048.0,4.1468533319778685e-73
8064.0,2.996554508374436e-73
8080.0,2.1653379569555217e-73
8096.0,1.5646932017184706e-73
8112.0,1.130661755426979e-73
8128.0,8.170266246323439e-74
8144.0,5.9039098311593336e-74
8160.0,4.266219758767942e-74
8176.0,3.0828097905634816e-74
8192.0,2.2276668203183878e-74
8208.0,1.6097326139088142e-74
8224.0,1.1632076505549208e-74
8240.0,8.405445889699446e-75
8256.0,6.073852813034736e-75
8272.0,4.389022126669012e-75
8288.0,3.171547915525692e-75
8304.0,2.2917898087949003e-75
8320.0,1.6560684774726431e-75
8336.0,1.196690373416351e-75
8352.0,8.647395136781249e-76
8368.0,6.248687573056253e-76
8384.0,4.5153593386275454e-76
8400.0,3.2628403514434195e-76
8416.0,2.3577585659535417e-76
8432.0,1.7037381105294027e-76
8448.0,1.2311368904289644e-76
8464.0,8.896308849393096e-77
8480.0,6.428554920177376e-77
8496.0,4.6453331444935194e-77
8512.0,3.356760623697779e-77
8528.0,2.4256262219136156e-77
8544.0,1.7527799053938866e-77
8560.0,1.2665749442339331e-77
8576.0,9.15238749842177e-78
8592.0,6.613599716511976e-78
8608.0,4.77904822296802e-78
8624.0,3.4533843740847507e-78
8640.0,2.495447436135347e-78
8656.0,1.8032333594967634e-78
8672.0,1.3030330760393633e-78
8688.0,9.415837325272448e-79
8704.0,6.803970994003802e-79
8720.0,4.9166122659097206e-79
8736.0,3.5527894217358e-79
8752.0,2.5672784414416877e-79
8768.0,1.8551391071951327e-79
8784.0,1.340540648606901e-79
8800.0,9.686870507972035e-80
8816.0,6.999822074454279e-80
8832.0,5.058136065068048e-80
8848.0,3.655055825792075e-80
8864.0,2.6411770893072765e-80
8880.0,1.908538952498749e-80
8896.0,1.379127869899999e-80
8912.0,9.965705332053756e-81
8928.0,7.20131069300529e-81
8944.0,5.203733601313007e-81
8960.0,3.7602659498827057e-81
8976.0,2.7172028964510384e-81
8992.0,1.9634759027382663e-81
9008.0,1.4188258174129023e-81
9024.0,1.025256636636062e-81
9040.0,7.408599125176388e-82
9056.0,5.353522136433418e-82
9072.0,3.868504528459054e-82
9088.0,2.795417092769936e-82
9104.0,2.019994203202607e-82
9120.0,1.4596664631999336e-82
9136.0,1.0547684643909351e-82
9152.0,7.621854317558743e-83
9168.0,5.507622307577599e-83
9184.0,3.9798587350384136e-83
9200.0,2.875882670652501e-83
9216.0,2.078139372773374e-83
9232.0,1.5016826996252467e-83
9248.0,1.08512978479605e-83
9264.0,7.841248022271114e-84
9280.0,5.666158224412467e-84
9296.0,4.094418252412086e-84
9312.0,2.9586644357118276e-84
9328.0,2.1379582405849844e-84
9344.0,1.544908365853775e-84
9360.0,1.1163650503444473e-84
9376.0,8.066956935286083e-85
9392.0,5.829257569079353e-85
9408.0,4.2122753448743787e-85
9424.0,3.0438290589789213e-85
9440.0,2.19949898374006e-85
9456.0,1.589378275104725e-85
9472.0,1.1484994173897795e-85
9488.0,8.299162838737995e-86
9504.0,5.997051699027066e-86
9520.0,4.333524932530705e-86
9536.0,3.1314451305984128e-86
9552.0,2.262811166110451e-86
9568.0,1.635128242689552e-86
9584.0,1.181558766406811e-86
9600.0,8.538052747327218e-87
9616.0,6.16967575280491e-87
9632.0,4.458264667744622e-87
9648.0,3.2215832150699032e-87
9664.0,2.3279457782551376e-87
9680.0,1.6821951148570057e-87
9696.0,1.2155697228351152e-87
9712.0,8.783819058938611e-88
9728.0,6.347268758901034e-88
9744.0,4.5865950137854076e-88
9760.0,3.314315908079414e-88
9776.0,2.3949552784871634e-88
9792.0,1.7306167984684738e-88
9808.0,1.2505596785227496e-88
9824.0,9.036659709595512e-89
9840.0,6.529973747713575e-89
9856.0,4.718619325739455e-89
9872.0,3.40971789496672e-89
9888.0,2.4638936351226716e-89
9904.0,1.7804322915275276e-89
9920.0,1.2865568137871903e-89
9936.0,9.296778332874082e-90
9952.0,6.717937866744951e-90
9968.0,4.8544439337507206e-90
9984.0,3.5078660108756616e-90
10000.0,2.534816369946071e-90
